id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif,id_labels
0.32.29.15,9,7,2,1085.8411,19297.002,10346.3,1,1,2,1,1,0,0,"0.Office clerks.Business related services administrators, agents.Managing directors, managers"
0.32.34,35,31,4,735.25183,1792.9042,1004.2286,18.032259,9,2,1,1,0,0,0.Office clerks.Commercial and catering occupations
0.32.34.15,18,18,0,820.32422,13126.104,,1,,2,1,1,,,"0.Office clerks.Commercial and catering occupations.Managing directors, managers"
0.32.48,16,10,5,71.351959,1357.6997,1792.5979,6.1999998,11.2,2,0,1,1,1,0.Office clerks.Occupations not requiring qualifications
0.32.48.15,5,2,2,179.89609,4989.0757,8662.5898,1,1,0,0,1,1,0,"0.Office clerks.Occupations not requiring qualifications.Managing directors, managers"
0.33,163,126,36,,1889.4805,3367.9985,15.198413,14.166667,2,,,1,0,0.Customer services occupations
0.33.15,23,19,3,-2114.1807,9352.1152,9801.9326,1,1,2,0,0,1,0,"0.Customer services occupations.Managing directors, managers"
0.33.23,3,2,1,3146.1731,172.27798,537.09589,69.5,18,2,1,1,1,0,0.Customer services occupations.Other highly qualified executives
0.33.23.14,3,2,1,233.91608,13700.925,20744.625,1,1,2,0,1,1,0,"0.Customer services occupations.Other highly qualified executives.Chief executives, senior officials and legislators"
0.33.24,6,4,2,2738.1458,1005.7901,2627.8296,13.25,7.5,2,1,1,1,0,0.Customer services occupations.Technicians and technical professionals
0.33.24.15,3,1,2,388.33673,12790.79,11071.959,1,1,1,0,1,0,0,"0.Customer services occupations.Technicians and technical professionals.Managing directors, managers"
0.33.29,12,11,1,739.86371,959.93933,568.17651,17.181818,10,2,1,1,0,0,"0.Customer services occupations.Business related services administrators, agents"
0.33.29.15,6,6,0,413.01407,11546.63,,1,,2,0,1,,,"0.Customer services occupations.Business related services administrators, agents.Managing directors, managers"
0.33.34,71,56,15,322.08649,1795.2517,1370.0375,13.178572,12.933333,2,0,1,0,0,0.Customer services occupations.Commercial and catering occupations
0.33.34.15,40,36,4,475.55078,8847.5605,10099.657,1,1,2,1,1,1,0,"0.Customer services occupations.Commercial and catering occupations.Managing directors, managers"
0.33.34.33,11,6,5,227.18985,1543.9363,1588.5204,11.833333,7.4000001,0,0,1,1,0,0.Customer services occupations.Commercial and catering occupations.Customer services occupations
0.33.34.33.34,4,2,2,1664.9479,483.35852,439.26642,21.5,37.5,0,1,1,0,1,0.Customer services occupations.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations
0.33.34.33.34.15,3,2,1,105.7175,8537.5879,28187.322,1,1,2,0,1,1,0,"0.Customer services occupations.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations.Managing directors, managers"
0.33.34.48,6,6,0,-2005.5391,689.35175,,20.666666,,2,0,0,,,0.Customer services occupations.Commercial and catering occupations.Occupations not requiring qualifications
0.33.34.48.34,3,3,0,370.14551,1549.1826,,9,,2,0,1,,,0.Customer services occupations.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.33.34.48.34.15,3,3,0,3996.0269,14633.002,,1,,2,1,1,,,"0.Customer services occupations.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Managing directors, managers"
0.33.48,15,8,7,70.007217,1179.1986,2759.6548,8.5,9.1428576,0,0,1,1,1,0.Customer services occupations.Occupations not requiring qualifications
0.33.48.15,6,2,4,-287.77191,9437.8896,7858.959,1,1,1,0,0,0,0,"0.Customer services occupations.Occupations not requiring qualifications.Managing directors, managers"
0.33.48.34,4,2,2,363.85327,213.46822,616.1413,59.5,17.5,0,0,1,1,0,0.Customer services occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.33.48.34.15,4,2,2,163.24843,11399.201,11375.459,1,1,0,0,1,0,0,"0.Customer services occupations.Occupations not requiring qualifications.Commercial and catering occupations.Managing directors, managers"
0.34,1559,829,716,,1187.9574,952.97974,22.270205,24.47905,0,,,0,1,0.Commercial and catering occupations
0.34.14,10,6,4,106.52123,6262.3115,7919.0469,1,1,0,0,1,1,0,"0.Commercial and catering occupations.Chief executives, senior officials and legislators"
0.34.17,8,2,6,2436.968,1239.0975,2028.724,9.5,16.833334,1,1,1,1,1,"0.Commercial and catering occupations.Technical, information technology, science related professionals"
0.34.17.15,7,1,6,1399.1298,6000,14151.967,1,1,1,1,1,1,0,"0.Commercial and catering occupations.Technical, information technology, science related professionals.Managing directors, managers"
0.34.21,11,6,5,2844.5984,2124.2222,947.33612,22.333334,21.799999,0,1,1,0,0,"0.Commercial and catering occupations.Business type, legal and social sciences professionals"
0.34.21.15,7,4,3,316.39059,15368.634,14003.196,1,1,0,0,1,0,0,"0.Commercial and catering occupations.Business type, legal and social sciences professionals.Managing directors, managers"
0.34.23,11,9,2,4374.7588,1973.3672,475.84015,13.777778,41.5,2,1,1,0,1,0.Commercial and catering occupations.Other highly qualified executives
0.34.23.15,4,3,1,1808.0677,10648.726,19953.949,1,1,2,1,1,1,0,"0.Commercial and catering occupations.Other highly qualified executives.Managing directors, managers"
0.34.24,11,5,6,1340.7429,660.45313,1190.5601,14.4,25.166666,0,1,1,1,1,0.Commercial and catering occupations.Technicians and technical professionals
0.34.24.34,3,2,1,1699.5719,355.86459,2661.835,29,5,2,1,1,1,0,0.Commercial and catering occupations.Technicians and technical professionals.Commercial and catering occupations
0.34.24.34.15,3,2,1,3.2950895,6296.6807,12829.354,1,1,2,0,1,1,0,"0.Commercial and catering occupations.Technicians and technical professionals.Commercial and catering occupations.Managing directors, managers"
0.34.26,6,5,1,1178.7974,2722.4829,1495.1194,7.8000002,3,2,1,1,0,0,0.Commercial and catering occupations.Health professionals
0.34.26.15,3,3,0,-747.61005,5190.2314,,1,,2,0,0,,,"0.Commercial and catering occupations.Health professionals.Managing directors, managers"
0.34.28,9,7,2,389.18668,922.91693,5744.6123,14.857142,1,2,0,1,1,0,"0.Commercial and catering occupations.Social health care, labour market services professionals"
0.34.28.15,5,3,2,191.40704,6050.1587,6120.4834,1,1,0,0,1,1,0,"0.Commercial and catering occupations.Social health care, labour market services professionals.Managing directors, managers"
0.34.29,87,55,32,918.57574,1749.2408,1370.4904,17.6,17.46875,2,1,1,0,0,"0.Commercial and catering occupations.Business related services administrators, agents"
0.34.29.14,3,3,0,-195.65504,3716.438,,1,,2,0,0,,,"0.Commercial and catering occupations.Business related services administrators, agents.Chief executives, senior officials and legislators"
0.34.29.33,5,5,0,53.957569,231.76999,,31.4,,2,0,1,,,"0.Commercial and catering occupations.Business related services administrators, agents.Customer services occupations"
0.34.29.33.15,5,5,0,51.624504,8006.7764,,1,,2,0,1,,,"0.Commercial and catering occupations.Business related services administrators, agents.Customer services occupations.Managing directors, managers"
0.34.29.34,18,11,7,208.52272,2613.7185,1107.2852,14.272727,18.571428,2,0,1,0,1,"0.Commercial and catering occupations.Business related services administrators, agents.Commercial and catering occupations"
0.34.29.34.15,9,5,4,252.16907,10111.605,9913.0439,1,1,0,0,1,0,0,"0.Commercial and catering occupations.Business related services administrators, agents.Commercial and catering occupations.Managing directors, managers"
0.34.31,32,19,13,1293.4709,1518.8831,4753.8687,14.052631,5.6923075,0,1,1,1,0,0.Commercial and catering occupations.Other administrators
0.34.31.15,5,3,2,168.00571,25400.25,12303.967,1,1,0,0,1,0,0,"0.Commercial and catering occupations.Other administrators.Managing directors, managers"
0.34.31.34,8,5,3,104.16846,3028.521,533.24652,13.8,9.333333,2,0,1,0,0,0.Commercial and catering occupations.Other administrators.Commercial and catering occupations
