id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.51.48.34,62,30,32,232.42896,1305.6295,1516.3674,15.866667,12.59375,0,0,1,1,0
0.51.48.34.15,28,11,17,209.74051,9079.4766,8259.5,1,1,1,0,1,0,0
0.51.48.51,99,31,69,-890.6615,1762.113,1685.8612,5.9354839,6.8985505,1,0,0,0,1
0.51.48.51.48,36,7,30,824.87854,1569.3456,1303.734,5.5714288,7.4666667,1,1,1,0,1
0.51.50,25,10,15,374.92432,1130.8839,830.50031,6.8000002,18.933332,1,0,1,0,1
14,171,,,,,,,,,,,,
15,4822,,,,,,,,,,,,
17,145,,,,,,,,,,,,
17.15,94,,,,,,,,,,,,
20,43,,,,,,,,,,,,
20.15,27,,,,,,,,,,,,
21,174,,,,,,,,,,,,
21.15,76,,,,,,,,,,,,
21.29,41,,,,,,,,,,,,
22,33,,,,,,,,,,,,
23,123,,,,,,,,,,,,
23.14,32,,,,,,,,,,,,
23.15,45,,,,,,,,,,,,
24,337,,,,,,,,,,,,
24.15,179,,,,,,,,,,,,
24.17,33,,,,,,,,,,,,
24.17.15,27,,,,,,,,,,,,
24.48,25,,,,,,,,,,,,
24.51,28,,,,,,,,,,,,
26,49,,,,,,,,,,,,
27,26,,,,,,,,,,,,
28,62,,,,,,,,,,,,
28.15,30,,,,,,,,,,,,
29,752,,,,,,,,,,,,
29.15,338,,,,,,,,,,,,
29.21,42,,,,,,,,,,,,
29.31,25,,,,,,,,,,,,
29.32,56,,,,,,,,,,,,
29.33,66,,,,,,,,,,,,
29.33.15,29,,,,,,,,,,,,
29.34,91,,,,,,,,,,,,
29.34.15,43,,,,,,,,,,,,
29.48,39,,,,,,,,,,,,
29.51,81,,,,,,,,,,,,
30,44,,,,,,,,,,,,
31,277,,,,,,,,,,,,
31.15,78,,,,,,,,,,,,
31.29,36,,,,,,,,,,,,
31.34,28,,,,,,,,,,,,
32,515,,,,,,,,,,,,
32.15,153,,,,,,,,,,,,
32.29,60,,,,,,,,,,,,
32.29.15,27,,,,,,,,,,,,
32.31,38,,,,,,,,,,,,
32.33,34,,,,,,,,,,,,
32.34,66,,,,,,,,,,,,
32.34.15,29,,,,,,,,,,,,
32.48,33,,,,,,,,,,,,
32.51,85,,,,,,,,,,,,
33,559,,,,,,,,,,,,
33.15,184,,,,,,,,,,,,
33.29,63,,,,,,,,,,,,
33.32,33,,,,,,,,,,,,
33.34,178,,,,,,,,,,,,
33.34.15,105,,,,,,,,,,,,
33.48,35,,,,,,,,,,,,
33.51,49,,,,,,,,,,,,
34,2439,,,,,,,,,,,,
34.15,1435,,,,,,,,,,,,
34.29,157,,,,,,,,,,,,
34.29.15,67,,,,,,,,,,,,
34.29.34,35,,,,,,,,,,,,
34.31,43,,,,,,,,,,,,
34.32,93,,,,,,,,,,,,
34.33,165,,,,,,,,,,,,
34.33.15,56,,,,,,,,,,,,
34.33.34,67,,,,,,,,,,,,
34.33.34.15,42,,,,,,,,,,,,
34.35,41,,,,,,,,,,,,
34.44,32,,,,,,,,,,,,
34.45,40,,,,,,,,,,,,
34.48,367,,,,,,,,,,,,
34.48.15,125,,,,,,,,,,,,
34.48.34,127,,,,,,,,,,,,
34.48.34.15,79,,,,,,,,,,,,
34.48.51,47,,,,,,,,,,,,
34.50,38,,,,,,,,,,,,
34.51,589,,,,,,,,,,,,
34.51.15,122,,,,,,,,,,,,
34.51.34,324,,,,,,,,,,,,
34.51.34.15,186,,,,,,,,,,,,
34.51.34.48,32,,,,,,,,,,,,
34.51.34.51,129,,,,,,,,,,,,
34.51.34.51.15,30,,,,,,,,,,,,
34.51.34.51.34,89,,,,,,,,,,,,
34.51.34.51.34.15,50,,,,,,,,,,,,
34.51.34.51.34.51,37,,,,,,,,,,,,
34.51.34.51.34.51.34,27,,,,,,,,,,,,
34.51.48,82,,,,,,,,,,,,
34.51.48.51,25,,,,,,,,,,,,
35,366,,,,,,,,,,,,
35.15,85,,,,,,,,,,,,
35.34,45,,,,,,,,,,,,
35.48,40,,,,,,,,,,,,
35.51,78,,,,,,,,,,,,
36,117,,,,,,,,,,,,
37,25,,,,,,,,,,,,
38,168,,,,,,,,,,,,
38.15,43,,,,,,,,,,,,
38.34,28,,,,,,,,,,,,
38.48,27,,,,,,,,,,,,
38.51,39,,,,,,,,,,,,
39,118,,,,,,,,,,,,
40,316,,,,,,,,,,,,
40.15,74,,,,,,,,,,,,
40.24,25,,,,,,,,,,,,
40.34,31,,,,,,,,,,,,
40.44,32,,,,,,,,,,,,
40.48,57,,,,,,,,,,,,
40.51,50,,,,,,,,,,,,
42,192,,,,,,,,,,,,
42.15,54,,,,,,,,,,,,
42.48,44,,,,,,,,,,,,
42.51,44,,,,,,,,,,,,
43,55,,,,,,,,,,,,
44,429,,,,,,,,,,,,
44.15,130,,,,,,,,,,,,
44.34,40,,,,,,,,,,,,
44.40,28,,,,,,,,,,,,
44.45,49,,,,,,,,,,,,
44.48,88,,,,,,,,,,,,
44.48.15,32,,,,,,,,,,,,
44.51,52,,,,,,,,,,,,
45,363,,,,,,,,,,,,
45.15,84,,,,,,,,,,,,
45.34,57,,,,,,,,,,,,
45.44,44,,,,,,,,,,,,
45.48,94,,,,,,,,,,,,
45.48.15,26,,,,,,,,,,,,
45.51,39,,,,,,,,,,,,
46,87,,,,,,,,,,,,
46.15,31,,,,,,,,,,,,
47,185,,,,,,,,,,,,
47.15,78,,,,,,,,,,,,
47.48,36,,,,,,,,,,,,
48,1962,,,,,,,,,,,,
48.14,27,,,,,,,,,,,,
48.15,627,,,,,,,,,,,,
48.24,59,,,,,,,,,,,,
48.24.15,31,,,,,,,,,,,,
48.29,100,,,,,,,,,,,,
48.29.15,57,,,,,,,,,,,,
48.31,25,,,,,,,,,,,,
48.32,56,,,,,,,,,,,,
48.33,66,,,,,,,,,,,,
48.33.34,26,,,,,,,,,,,,
48.34,414,,,,,,,,,,,,
48.34.15,214,,,,,,,,,,,,
48.34.48,64,,,,,,,,,,,,
48.34.51,88,,,,,,,,,,,,
48.34.51.34,44,,,,,,,,,,,,
48.35,55,,,,,,,,,,,,
48.40,53,,,,,,,,,,,,
48.42,36,,,,,,,,,,,,
48.44,85,,,,,,,,,,,,
48.44.15,30,,,,,,,,,,,,
48.45,66,,,,,,,,,,,,
48.47,62,,,,,,,,,,,,
48.47.15,30,,,,,,,,,,,,
48.50,33,,,,,,,,,,,,
48.51,470,,,,,,,,,,,,
48.51.15,101,,,,,,,,,,,,
48.51.34,111,,,,,,,,,,,,
48.51.34.15,44,,,,,,,,,,,,
48.51.34.51,36,,,,,,,,,,,,
48.51.48,162,,,,,,,,,,,,
48.51.48.15,57,,,,,,,,,,,,
48.51.48.51,62,,,,,,,,,,,,
48.51.48.51.48,25,,,,,,,,,,,,
50,221,,,,,,,,,,,,
50.15,67,,,,,,,,,,,,
50.34,30,,,,,,,,,,,,
50.51,32,,,,,,,,,,,,
51,3153,,,,,,,,,,,,
51.15,652,,,,,,,,,,,,
51.17,28,,,,,,,,,,,,
51.21,33,,,,,,,,,,,,
51.23,29,,,,,,,,,,,,
51.24,75,,,,,,,,,,,,
51.24.15,40,,,,,,,,,,,,
51.29,163,,,,,,,,,,,,
51.29.15,57,,,,,,,,,,,,
51.29.51,26,,,,,,,,,,,,
51.31,50,,,,,,,,,,,,
51.32,117,,,,,,,,,,,,
51.32.15,40,,,,,,,,,,,,
51.33,113,,,,,,,,,,,,
51.33.15,28,,,,,,,,,,,,
51.33.34,33,,,,,,,,,,,,
51.34,1112,,,,,,,,,,,,
51.34.15,620,,,,,,,,,,,,
51.34.29,46,,,,,,,,,,,,
51.34.32,28,,,,,,,,,,,,
51.34.33,59,,,,,,,,,,,,
51.34.33.34,25,,,,,,,,,,,,
51.34.48,129,,,,,,,,,,,,
51.34.48.15,51,,,,,,,,,,,,
51.34.48.34,35,,,,,,,,,,,,
51.34.51,309,,,,,,,,,,,,
51.34.51.15,67,,,,,,,,,,,,
51.34.51.34,194,,,,,,,,,,,,
51.34.51.34.15,119,,,,,,,,,,,,
51.34.51.34.51,81,,,,,,,,,,,,
51.34.51.34.51.34,55,,,,,,,,,,,,
51.34.51.34.51.34.15,31,,,,,,,,,,,,
51.34.51.48,40,,,,,,,,,,,,
51.35,108,,,,,,,,,,,,
51.35.15,28,,,,,,,,,,,,
51.35.51,27,,,,,,,,,,,,
51.36,27,,,,,,,,,,,,
51.38,53,,,,,,,,,,,,
51.39,30,,,,,,,,,,,,
51.40,100,,,,,,,,,,,,
51.42,88,,,,,,,,,,,,
51.42.51,25,,,,,,,,,,,,
51.44,108,,,,,,,,,,,,
51.44.15,32,,,,,,,,,,,,
51.45,96,,,,,,,,,,,,
51.45.48,25,,,,,,,,,,,,
51.47,38,,,,,,,,,,,,
51.48,628,,,,,,,,,,,,
51.48.15,199,,,,,,,,,,,,
51.48.34,112,,,,,,,,,,,,
51.48.34.15,55,,,,,,,,,,,,
51.48.34.51,25,,,,,,,,,,,,
51.48.44,28,,,,,,,,,,,,
51.48.51,184,,,,,,,,,,,,
51.48.51.15,51,,,,,,,,,,,,
51.48.51.34,40,,,,,,,,,,,,
51.48.51.48,68,,,,,,,,,,,,
51.48.51.48.51,29,,,,,,,,,,,,
51.50,50,,,,,,,,,,,,
