id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.31.21,92,55,37,1218.7402,1342.0623,876.45941,32.109093,39.675674,0,1,1,0,1
0.31.23,75,50,25,983.24548,939.13617,948.15222,46.32,36.759998,2,1,1,1,0
0.31.29,240,178,62,734.44421,1078.3368,1490.2219,36.713482,30.419355,2,1,1,1,0
0.31.32,157,127,30,270.58777,1139.7826,1052.5673,29.377953,18.5,2,0,1,0,0
0.31.33,76,55,21,853.33569,1521.3142,1526.6378,29.890909,35.333332,2,1,1,1,1
0.31.34,80,51,29,233.75743,909.0871,722.48334,23.431372,24.413794,2,0,1,0,1
0.31.48,57,29,28,272.85413,1148.1488,2119.2007,19.896551,18.678572,0,0,1,1,0
0.32,2989,2372,617,,871.97443,1186.0308,29.154722,23.787682,2,,,1,0
0.32.15,127,87,40,346.94659,1323.4519,748.36188,26.229885,37.325001,2,0,1,0,1
0.32.17,93,37,56,2254.0957,899.39355,812.46075,33.675674,52.69643,1,1,1,0,1
0.32.20,57,50,7,1437.3823,909.82971,474.40082,35.799999,53.142857,2,1,1,0,1
0.32.21,190,144,46,1485.3856,1240.4093,1652.5394,33.979168,36.369564,2,1,1,1,1
0.32.23,96,78,18,755.08459,1075.2794,951.42407,41.025642,33.833332,2,1,1,0,0
0.32.24,98,56,42,1532.8324,1321.0066,1186.2936,28.071428,34.976189,0,1,1,0,1
0.32.26,86,73,13,277.62616,1042.552,1325.088,27.547945,16.153847,2,0,1,1,0
0.32.29,671,566,105,719.87512,866.78888,1142.5992,39.69788,37.257141,2,1,1,1,0
0.32.29.21,81,63,18,512.22699,1474.8344,1021.2824,30.920635,37,2,1,1,0,1
0.32.29.32,144,126,18,426.28751,1839.3619,1252.1044,28.238094,44.444443,2,0,1,0,1
0.32.31,226,195,31,489.49524,922.86993,1340.2053,27.528206,24.064516,2,1,1,1,0
0.32.33,202,176,26,462.02884,1143.7776,2052.8347,19.8125,22.73077,2,1,1,1,1
0.32.34,216,187,29,251.76443,960.28882,1108.5001,22.502674,16.137932,2,0,1,1,0
0.32.35,67,52,15,446.90555,837.67804,1812.3687,20.173077,16.933332,2,0,1,1,0
0.32.48,169,124,45,-3.1829083,1255.704,459.03555,11.096774,26.6,2,0,0,0,1
0.33,1766,1287,479,,1178.1863,1248.7385,20.8547,20.8643,2,,,1,1
0.33.21,71,48,23,1683.4879,1067.7729,978.46631,29.916666,31.347826,2,1,1,0,1
