id,value,nok,ffiak,wage_dif,gender_dom,relevant_wagedif_norm,wage_sign,id_labels
0.31.32,157,127,30,270.58777,2,0,1,0.Other administrators.Office clerks
0.31.33,76,55,21,853.33569,2,1,1,0.Other administrators.Customer services occupations
0.31.34,80,51,29,233.75743,2,0,1,0.Other administrators.Commercial and catering occupations
0.31.48,57,29,28,272.85413,0,0,1,0.Other administrators.Occupations not requiring qualifications
0.32,2989,2372,617,,2,,,0.Office clerks
0.32.15,127,87,40,346.94659,2,0,1,"0.Office clerks.Managing directors, managers"
0.32.17,93,37,56,2254.0957,1,1,1,"0.Office clerks.Technical, information technology, science related professionals"
0.32.20,57,50,7,1437.3823,2,1,1,"0.Office clerks.Educators, teachers"
0.32.21,190,144,46,1485.3856,2,1,1,"0.Office clerks.Business type, legal and social sciences professionals"
0.32.23,96,78,18,755.08459,2,1,1,0.Office clerks.Other highly qualified executives
0.32.24,98,56,42,1532.8324,0,1,1,0.Office clerks.Technicians and technical professionals
0.32.26,86,73,13,277.62616,2,0,1,0.Office clerks.Health professionals
0.32.29,671,566,105,719.87512,2,1,1,"0.Office clerks.Business related services administrators, agents"
0.32.29.21,81,63,18,512.22699,2,1,1,"0.Office clerks.Business related services administrators, agents.Business type, legal and social sciences professionals"
0.32.29.32,144,126,18,426.28751,2,0,1,"0.Office clerks.Business related services administrators, agents.Office clerks"
0.32.31,226,195,31,489.49524,2,1,1,0.Office clerks.Other administrators
0.32.33,202,176,26,462.02884,2,1,1,0.Office clerks.Customer services occupations
0.32.34,216,187,29,251.76443,2,0,1,0.Office clerks.Commercial and catering occupations
0.32.35,67,52,15,446.90555,2,0,1,0.Office clerks.Service workers
0.32.48,169,124,45,-3.1829083,2,0,0,0.Office clerks.Occupations not requiring qualifications
0.33,1766,1287,479,,2,,,0.Customer services occupations
0.33.21,71,48,23,1683.4879,2,1,1,"0.Customer services occupations.Business type, legal and social sciences professionals"
0.33.24,98,36,62,1151.5029,1,1,1,0.Customer services occupations.Technicians and technical professionals
