id,value,wagedif,relevant_wagedif_abs,wage_sign,gender_dom,relevant_wagedif_rel
0.35.26,110,432.06256,1,1,2,1
0.35.29,147,654.25256,1,1,0,1
0.35.32,88,291.61401,1,1,2,1
0.35.33,77,293.65942,1,1,2,1
0.35.34,291,140.02341,0,1,2,1
0.35.34.48,60,64.55645,0,1,0,2
0.35.40,60,-25.278612,0,0,1,1
0.35.47,81,212.36998,0,1,1,1
0.35.48,390,57.190861,0,1,1,1
0.35.48.35,85,317.69772,1,1,1,3
0.36,585,,1,1,1,1
0.36.48,230,57.312977,0,1,1,1
0.37,126,,1,1,1,1
0.38,1066,,1,1,1,1
0.38.34,132,23.406256,0,1,0,1
0.38.44,80,222.07269,0,1,1,1
0.38.48,377,-94.378372,0,0,1,1
0.38.48.38,66,265.75912,1,1,1,3
0.39,1392,,1,1,1,1
0.39.34,104,290.20987,1,1,0,1
0.39.40,77,208.64632,0,1,1,1
0.39.42,95,55.564518,0,1,1,1
0.39.44,157,429.23303,1,1,0,1
0.39.45,73,507.61618,1,1,0,1
0.39.48,415,175.28078,0,1,1,1
0.39.48.39,56,115.60252,0,1,1,2
0.40,2667,,1,1,1,1
0.40.24,188,556.53552,1,1,1,1
0.40.29,60,743.7879,1,1,1,1
0.40.34,152,158.59062,0,1,1,1
0.40.35,99,75.602783,0,1,1,1
0.40.42,147,120.40411,0,1,1,1
0.40.42.40,58,430.00369,1,1,1,3
0.40.44,241,223.14841,0,1,1,1
0.40.44.40,63,360.32855,1,1,1,3
0.40.45,211,215.67421,0,1,1,1
0.40.47,159,213.74222,0,1,1,1
0.40.48,549,29.232962,0,1,1,1
0.40.48.40,144,403.02008,1,1,1,3
0.41,161,,1,1,0,1
0.42,1707,,1,1,1,1
0.42.34,82,296.24075,1,1,1,1
0.42.40,190,430.00369,1,1,1,1
0.42.44,79,722.88605,1,1,1,1
0.42.45,57,519.55933,1,1,1,1
0.42.47,60,368.98779,1,1,1,1
0.42.48,607,8.7152719,0,1,1,1
0.42.48.42,236,243.94368,1,1,1,3
0.42.48.42.48,104,8.7152719,0,1,1,2
0.43,139,,1,1,1,1
0.43.48,56,122.80605,0,1,1,1
0.44,2189,,1,1,1,1
0.44.24,124,386.40128,1,1,1,1
0.44.34,201,221.877,0,1,2,1
0.44.34.48,57,64.55645,0,1,0,2
0.44.35,73,309.53812,1,1,1,1
0.44.39,93,200.71286,0,1,1,1
0.44.40,214,360.32855,1,1,1,1
0.44.42,67,16.43199,0,1,1,1
0.44.45,293,205.63347,0,1,0,1
0.44.45.44,65,164.8671,0,1,0,2
0.44.45.48,81,8.6834583,0,1,0,2
0.44.48,572,-5.1177282,0,0,1,1
0.44.48.44,97,449.80533,1,1,1,3
0.44.48.45,66,404.6539,1,1,0,3
0.45,1972,,1,1,0,1
0.45.24,93,509.43506,1,1,1,1
0.45.34,203,214.45697,0,1,2,1
0.45.35,66,251.54256,1,1,1,1
0.45.40,177,424.58206,1,1,1,1
0.45.44,325,164.8671,0,1,0,1
0.45.44.45,88,205.63347,0,1,0,3
0.45.44.48,73,-5.1177282,0,0,1,2
0.45.48,571,8.6834583,0,1,0,1
0.45.48.44,62,449.80533,1,1,1,3
0.45.48.45,103,404.6539,1,1,0,3
0.46,259,,1,1,1,1
0.46.48,62,47.360947,0,1,1,1
0.47,789,,1,1,1,1
0.47.34,63,138.93083,0,1,1,1
0.47.48,152,15.750889,0,1,1,1
0.48,9577,,1,1,1,1
0.48.15,130,482.3027,1,1,1,1
0.48.17,89,3653.7693,1,1,1,1
0.48.20,57,1363.1597,1,1,2,1
0.48.24,248,1108.5721,1,1,1,1
0.48.28,88,438.7005,1,1,2,1
0.48.29,312,700.8631,1,1,1,1
0.48.31,104,534.0827,1,1,0,1
0.48.32,285,350.60614,1,1,2,1
0.48.32.48,70,60.727482,0,1,2,2
0.48.33,146,751.80682,1,1,2,1
0.48.34,1068,248.87659,1,1,0,1
0.48.34.29,66,900.1441,1,1,2,3
0.48.34.48,394,64.55645,0,1,0,2
0.48.34.48.34,107,248.87659,1,1,0,3
0.48.35,502,317.69772,1,1,1,1
0.48.35.48,199,57.190861,0,1,1,2
0.48.36,196,236.83958,0,1,1,1
0.48.36.48,122,57.312977,0,1,1,2
0.48.37,87,86.435432,0,1,1,1
0.48.38,239,265.75912,1,1,1,1
0.48.38.48,127,-94.378372,0,0,1,2
0.48.39,191,115.60252,0,1,1,1
0.48.39.48,77,175.28078,0,1,1,3
0.48.40,494,403.02008,1,1,1,1
0.48.40.44,58,223.14841,0,1,1,2
0.48.40.48,177,29.232962,0,1,1,2
0.48.42,481,243.94368,1,1,1,1
0.48.42.48,262,8.7152719,0,1,1,2
