id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.34.21,11,6,5,2844.5984,2124.2222,947.33612,22.333334,21.799999,0,1,1,0,0
0.34.21.15,7,4,3,316.39059,15368.634,14003.196,1,1,0,0,1,0,0
0.34.23,11,9,2,4374.7588,1973.3672,475.84015,13.777778,41.5,2,1,1,0,1
0.34.24,11,5,6,1340.7429,660.45313,1190.5601,14.4,25.166666,0,1,1,1,1
0.34.26,6,5,1,1178.7974,2722.4829,1495.1194,7.8000002,3,2,1,1,0,0
0.34.28,9,7,2,389.18668,922.91693,5744.6123,14.857142,1,2,0,1,1,0
0.34.28.15,5,3,2,191.40704,6050.1587,6120.4834,1,1,0,0,1,1,0
0.34.29,87,55,32,918.57574,1749.2408,1370.4904,17.6,17.46875,2,1,1,0,0
0.34.29.15,41,24,17,480.83807,11758.09,9625.8604,1,1,0,1,1,0,0
0.34.29.33,5,5,0,53.957569,231.76999,,31.4,,2,0,1,,
0.34.29.33.15,5,5,0,51.624504,8006.7764,,1,,2,0,1,,
0.34.29.34,18,11,7,208.52272,2613.7185,1107.2852,14.272727,18.571428,2,0,1,0,1
0.34.29.34.15,9,5,4,252.16907,10111.605,9913.0439,1,1,0,0,1,0,0
0.34.29.48,5,2,3,-18.192354,364.3902,973.72852,14,10,1,0,0,1,0
0.34.31,32,19,13,1293.4709,1518.8831,4753.8687,14.052631,5.6923075,0,1,1,1,0
0.34.31.15,5,3,2,168.00571,25400.25,12303.967,1,1,0,0,1,0,0
0.34.31.34,8,5,3,104.16846,3028.521,533.24652,13.8,9.333333,2,0,1,0,0
0.34.32,62,45,16,304.66507,825.24286,2598.0747,17.088888,8.5625,2,0,1,1,0
0.34.32.15,20,13,7,46.045719,8278.0742,7092.4077,1,1,2,0,1,0,0
0.34.32.29,5,4,1,1594.0221,3740.9739,932.28033,6.75,19,2,1,1,0,1
0.34.32.34,18,14,4,359.57245,1700.8909,344.06259,22.785715,39.5,2,0,1,0,1
0.34.32.34.15,13,11,2,245.53571,9925.3545,6971.8311,1,1,2,0,1,0,0
0.34.33,117,89,27,301.90469,1501.8086,1891.0223,14.337079,9.3703699,2,0,1,1,0
0.34.33.15,40,28,12,63.087181,10319.083,8585.4551,1,1,2,0,1,0,0
0.34.33.29,6,5,1,351.10397,1089.0753,2129.5891,10.4,4,2,0,1,1,0
0.34.33.34,53,41,12,86.487305,870.95685,2287.7341,31.292683,10.75,2,0,1,1,0
0.34.33.34.15,31,25,6,414.00894,11448.508,9124.0732,1,1,2,0,1,0,0
0.34.33.34.33,6,4,2,-526.95105,989.16626,1102.7638,13,8,2,0,0,1,0
0.34.33.34.48,9,5,4,140.49269,1548.4277,2162.7837,9.6000004,5,0,0,1,1,0
0.34.33.48,6,5,1,-114.15952,1384.4423,5469.7822,7,1,2,0,0,1,0
0.34.35,35,19,16,614.76648,1888.1757,1461.016,6.8421054,11,0,1,1,0,1
0.34.35.15,11,5,6,1520.853,13283.479,6891.8491,1,1,0,1,1,0,0
0.34.35.34,9,5,4,849.33679,1759.8789,1298.8431,25.6,20.75,0,1,1,0,0
0.34.35.34.15,7,5,2,301.24893,8451.8262,10069.951,1,1,2,0,1,1,0
0.34.38,10,3,7,384.82767,3453.8252,1315.3883,5,13.714286,1,0,1,0,1
0.34.39,6,4,2,999.91779,1965.7697,490.12195,5.75,9,2,1,1,0,1
0.34.40,9,4,5,671.44604,678.52747,1882.8965,19.5,10.4,0,1,1,1,0
0.34.44,17,5,12,507.43063,452.71768,1217.734,26,11.416667,1,1,1,1,0
0.34.44.48,5,1,4,317.26447,770.91461,463.68579,6,24.75,1,0,1,0,1
0.34.45,30,16,14,635.85626,1515.6165,2100.6777,14.4375,21.428572,0,1,1,1,1
0.34.45.15,6,2,4,99.401375,15177.051,13886.311,1,1,1,0,1,0,0
0.34.45.34,10,7,3,472.69205,537.76685,1938.0854,16.571428,2.6666667,2,1,1,1,0
0.34.45.48,10,4,6,243.82304,965.45685,2266.6304,14.75,11.166667,1,0,1,1,0
0.34.47,10,2,8,1837.0941,3084.2659,4293.791,10.5,9.875,1,1,1,1,0
0.34.48,258,122,134,42.249519,1555.8193,1464.7523,11.122951,13.843284,0,0,1,0,1
0.34.48.15,93,39,53,455.81332,8996.377,8425.002,1,1,0,0,1,0,0
0.34.48.29,10,6,4,304.56647,542.3338,366.685,39.166668,23.25,0,0,1,0,0
0.34.48.29.15,7,5,2,101.14471,8399.376,9677.4131,1,1,2,0,1,1,0
0.34.48.32,6,4,2,1225.0352,1956.4708,906.69067,17,27,2,1,1,0,1
0.34.48.33,9,7,1,1464.7958,3770.1946,360.56897,2.7142856,22,2,1,1,0,1
0.34.48.34,104,53,51,343.01959,909.74841,940.86841,20.490566,17.686274,0,0,1,1,0
0.34.48.34.15,65,32,33,89.90287,8962.5352,7362.0586,1,1,0,0,1,0,0
0.34.48.34.48,22,12,10,330.92493,1605.8068,1586.7871,16.166666,7.4000001,0,0,1,0,0
0.34.48.34.48.15,10,9,1,-7.869421,7320.1616,9494.6895,1,1,2,0,0,1,0
0.34.48.34.48.34,6,2,4,924.27167,294.17044,418.63843,25.5,29,1,1,1,1,1
