id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,wagegap_wlimit,wagegap2,wagegap_controlled,wagegap_controlled_wlimit,tenure_dif,manag_av
0.40.47,5,0,5,625608.81,,104374.38,,34.200001,1,1,1,,,,,,,
0.40.48,19,1,18,43219.855,66408,83837.5,3,16.222221,1,0,1,1,,1,1,,1,
0.40.48.15,5,0,5,39549.422,,154802.23,,33.799999,1,0,1,,,,,,,0
0.40.48.34,4,1,3,157252.3,146825.75,105546.74,33,10.666667,1,0,1,0,,0,0,,0,
0.40.48.34.15,4,1,3,161301.17,324598.84,124250.66,45,1,1,1,1,0,,0,0,,0,0
0.41,4,1,3,,48570,46417.332,1,1.6666666,1,,,0,,0,0,,1,
0.42,72,0,72,,,68363.414,,13.208333,1,,,,,,,,,
0.42.15,14,0,14,44504.137,,127827.07,,15.785714,1,0,1,,,,,,,0
0.42.24,6,0,6,398628.38,,137543.3,,29,1,1,1,,,,,,,
0.42.24.15,4,0,4,15620.729,,156212.16,,18.25,1,0,1,,,,,,,0
0.42.34,6,0,6,7547.2793,,89806.484,,16.166666,1,0,1,,,,,,,
0.42.40,4,0,4,353201.81,,103384.92,,20,1,1,1,,,,,,,
0.42.44,6,0,6,95471.117,,116134.66,,20,1,0,1,,,,,,,
0.42.48,19,0,19,96146.203,,79486.945,,10.052631,1,0,1,,,,,,,
0.42.48.15,4,0,4,75376.195,,133614.66,,29,1,0,1,,,,,,,0
0.42.48.42,6,0,6,151116.56,,101329.54,,12,1,0,1,,,,,,,
0.42.50,4,0,4,149117.16,,50304.957,,8,1,0,1,,,,,,,
0.43,8,0,8,,,94124.148,,10.125,1,,,,,,,,,
0.44,115,36,80,,75370.789,93613.688,7.8888888,9.0249996,1,,,1,1,1,1,1,1,
0.44.15,15,1,14,397510.38,121031.78,222487.75,9,7.3571429,1,1,1,1,,1,1,,0,0
0.44.31,4,2,2,514047.06,108327.03,116811.98,30.5,26.5,0,1,1,1,1,1,1,1,0,
0.44.33,5,4,1,49849.758,101723.48,68942.664,16,6,2,0,1,0,,0,0,,0,
0.44.34,19,7,12,145914.66,84081.266,84565.734,30.857143,20.916666,1,0,1,1,1,0,1,1,0,
0.44.34.15,9,3,6,33002.262,143951.53,174449.69,29,25,1,0,1,1,1,1,0,0,0,0
0.44.35,8,3,5,-43800.199,52686.977,76937.203,6.3333335,8.6000004,1,0,0,1,1,1,1,1,1,
0.44.40,7,2,6,191700.77,89079.5,115563.34,1.5,10,1,1,1,1,1,1,1,1,1,
0.44.45,13,6,7,110384.04,97106.891,98851.891,20,13.428572,0,0,1,1,1,0,0,0,0,
0.44.48,23,7,16,104027.7,70138.078,99304.867,5.4285712,14.3125,1,0,1,1,1,1,1,1,1,
0.44.48.15,9,3,6,37763.898,117909.48,129509.33,11.333333,36.833332,1,0,1,1,1,1,0,0,1,0
0.44.48.34,4,1,3,104993.3,97736.336,139754.7,3,5.6666665,1,0,1,1,,1,1,,1,
0.44.48.44,4,1,3,-24406.355,30688,156788.31,1,12,1,0,0,1,,1,1,,1,
0.45,97,42,55,,84626.023,97016.914,12.666667,11.381818,0,,,1,1,1,1,1,0,
0.45.15,16,8,8,153601.58,171068.94,181801.34,18,10.875,0,0,1,1,1,1,1,1,0,0
0.45.33,4,4,0,13379.357,78184.43,,4.75,,2,0,1,,,,,,,
0.45.34,19,11,8,144081.73,94468.313,119162.06,31.272728,24.875,0,0,1,1,1,1,1,1,0,
0.45.34.15,11,6,5,154655.06,170494.95,208562.19,16.333334,20,0,0,1,1,1,1,1,1,1,0
0.45.40,6,2,4,237376.16,99606.219,163120.61,24,46.75,1,1,1,1,1,1,1,1,1,
0.45.44,9,4,5,121014.34,125157.88,102675.16,25,4.8000002,0,0,1,0,0,0,0,0,0,
0.45.44.45,4,2,2,125410.8,121831.25,135047.91,4.5,11,0,0,1,1,1,1,1,1,1,
0.45.48,30,10,20,25573.594,74250.742,84414.555,8.8000002,10.7,1,0,1,1,1,1,1,1,1,
0.45.48.15,7,2,5,289897.81,114261.5,170074.03,4,12,1,1,1,1,1,1,1,1,1,0
0.45.48.34,5,2,3,175727.02,87806.25,102209,5.5,25,1,1,1,1,1,1,1,1,1,
0.45.48.44,4,2,2,157616.86,84682.75,76595.102,6.5,8,0,0,1,0,0,0,0,0,1,
0.46,20,7,13,,63727.012,96103.578,6,12.384615,1,,,1,1,1,1,1,1,
0.46.15,4,2,2,291957.25,70811.414,254204.17,2.5,2,0,1,1,1,1,1,1,1,0,0
0.46.48,6,1,5,6511.8047,75757,71470.203,1,3.2,1,0,1,0,,0,0,,1,
0.47,29,1,28,,84261,87355.852,1,16.821428,1,,,1,,0,1,,1,
0.47.15,7,0,7,37399.445,,213044.19,,26.571428,1,0,1,,,,,,,0
0.47.34,4,1,3,137838.02,126308.11,87699.781,18,10,1,0,1,0,,0,0,,0,
0.47.48,7,0,7,129808.17,,93473.906,,10.571428,1,0,1,,,,,,,
0.48,842,292,550,,64375.98,70588.648,6.6883564,10.129091,1,,,1,1,1,1,1,1,
0.48.14,30,10,20,211769.38,85746.734,72297.211,4.8000002,3.6500001,1,1,1,0,0,0,1,1,0,0
0.48.15,207,65,142,253440.03,143154.48,153299.31,12.8,14.704226,1,1,1,1,1,1,1,1,1,0
0.48.16,6,1,5,750644.94,103283,153626.64,6,9.3999996,1,1,1,1,,1,,,1,
0.48.17,10,0,10,1198841.5,,223341.8,,17.299999,1,1,1,,,,,,,
0.48.17.15,4,0,4,962561,,429350.41,,21.5,1,1,1,,,,,,,1
0.48.17.24,4,0,4,-1894.853,,201810.83,,12,1,0,0,,,,,,,
0.48.21,5,1,4,416618.5,241202.11,86559.727,19,16.75,1,1,1,0,,0,,,0,
0.48.24,25,3,22,426708.59,126519.82,119722.2,18.333334,15.363636,1,1,1,0,0,0,0,0,0,
0.48.24.15,7,1,6,253923.59,433082.41,344757.13,5,18.5,1,1,1,0,,0,0,,1,1
0.48.24.48,5,0,5,74525.422,,103331.47,,2.4000001,1,0,1,,,,,,,
0.48.24.48.15,4,0,4,45426.094,,134958.59,,12.25,1,0,1,,,,,,,0
0.48.26,4,0,4,644633.88,,129038.28,,29.75,1,1,1,,,,,,,
0.48.29,49,16,33,365404.22,125401.23,129301.8,17.6875,23.454546,1,1,1,1,1,0,0,0,1,
0.48.29.15,26,9,17,93798.25,210499.31,206479.5,21.888889,22.941177,1,0,1,0,0,0,0,0,1,0
0.48.29.32,4,2,2,-36581.777,148503.25,97709.172,10,2,0,0,0,0,0,0,0,0,0,
0.48.29.48,5,1,4,132352.53,76421.5,90499.664,4,5,1,0,1,1,,1,,,1,
0.48.31,11,3,8,546116.5,88527.711,130385.41,9,17,1,1,1,1,1,1,1,1,1,
0.48.32,25,8,17,461481.13,88739.773,130756.88,5.75,11.764706,1,1,1,1,1,1,1,1,1,
0.48.32.15,8,3,5,212131.59,295892.25,294972.16,5,21.200001,1,1,1,0,0,0,1,1,1,1
0.48.33,38,23,15,192624.98,113086.43,82430.602,20.565218,10.6,2,1,1,0,0,0,0,0,0,
0.48.33.15,13,10,3,58405.789,226478.02,344747.97,23,36,2,0,1,1,1,1,1,1,1,0
0.48.33.29,5,3,2,328929.59,155187.28,97504.766,9,8,0,1,1,0,0,0,0,0,0,
